"acceleration_x","acceleration_y","acceleration_z","gyro_x","gyro_y","gyro_z","activity"
0.265,-0.7814,-0.0076,-0.059,0.0325,-29.296,0
0.6722,-11.233,-0.2344,-0.1757,0.0208,0.1269,0
0.4399,-14.817,0.0722,-0.9105,0.1063,-24.367,0
0.3031,-0.8125,0.0888,0.1199,-0.4099,-29.336,0
0.4814,-0.9312,0.0359,0.0527,0.4379,24.922,0
0.4044,-0.8056,-0.0956,0.6925,-0.2179,25.750,0
0.632,-11.290,-0.2982,0.0548,-0.1896,0.4473,0
0.667,-13.503,-0.088,-0.8094,-0.7938,-14.348,0
0.2704,-0.8633,0.1293,-0.4173,-0.1904,-26.759,0
0.469,-10.740,0.0219,0.0388,11.491,16.982,0
0.2985,-0.7172,-0.0693,0.2326,0.4321,21.009,0
0.6364,-10.452,-0.24,0.1163,-0.1033,10.822,0
0.5683,-12.486,-0.131,-0.4556,-0.5281,-12.407,0
0.2911,-0.7748,0.0163,-0.2345,-0.0148,-25.884,0
0.4477,-11.574,-0.0172,-0.1081,0.4016,0.67,0
0.2424,-0.7421,-0.0549,0.5714,-0.0506,21.356,0
0.6028,-10.966,-0.3046,0.1674,-0.5065,10.156,0
0.4852,-13.397,-0.0763,-0.8579,0.0096,-14.015,0
0.3017,-0.8366,0.0718,-0.2701,-0.4678,-27.010,0
0.4082,-10.859,-0.0375,0.0848,-0.105,0.287,0
0.372,-0.819,-0.2379,0.3006,0.1531,26.873,0
0.6363,-0.7532,-0.2972,-0.0726,-0.1945,14.530,0
0.709,-11.893,-0.2303,-0.1418,-14.683,-12.643,0
0.3275,-0.7846,-0.0344,0.0436,-0.3678,-29.826,0
0.2957,-0.9224,-0.0462,0.1208,0.0853,-0.2949,0
0.5468,-12.653,-0.2362,0.1492,0.5586,35.731,0
0.5656,-0.8049,-0.1815,0.4349,-0.0852,14.384,0
0.7335,-13.042,-0.2887,-0.4351,0.0151,-11.675,0
0.2843,-0.9344,-0.0459,-0.3433,-0.1396,-31.056,0
0.2854,-0.9109,0.0746,0.079,0.0688,-15.500,0
0.5291,-12.390,-0.1573,0.3893,-0.2878,30.852,0
0.5319,-0.7638,-0.1285,0.3973,-0.0524,20.416,0
0.5509,-14.469,-0.1684,-0.159,0.5247,-0.2822,0
0.4053,-0.7735,-0.0511,-0.0841,-0.5589,-22.833,0
0.2938,-0.9424,0.0928,-0.5436,0.4212,-11.527,0
0.514,-10.203,-0.2959,0.7219,-0.1907,16.697,0
0.4652,-0.6219,-0.1181,0.5532,0.4083,16.534,0
0.5604,-12.123,-0.2765,-0.395,0.0046,0.5489,0
0.5762,-11.338,-0.0781,-0.2823,-10.751,-16.040,0
0.2365,-0.8592,0.1061,-0.353,0.3114,-22.969,0
0.4459,-11.958,0.0135,0.3472,0.3493,16.180,0
0.3306,-0.7377,-0.0852,0.5862,-0.3914,20.878,0
0.6213,-11.723,-0.2599,0.0188,-0.2731,0.7516,0
0.4872,-11.931,-0.0351,-0.5722,-0.5391,-14.604,0
0.2804,-0.8719,0.075,-0.3699,0.1381,-23.609,0
0.4056,-12.032,0.0102,-0.2242,0.4722,0.8533,0
0.3337,-0.6742,-0.0606,-0.6249,16.331,20.391,0
0.6582,-10.350,-0.1183,-0.6174,0.9292,16.138,0
0.7001,-11.561,-0.1305,0.1899,-0.0869,-0.8852,0
0.3547,-0.8853,-0.0107,0.3715,-0.9418,-27.084,0
0.3895,-0.9959,0.0459,-0.489,0.619,0.5679,0
0.3238,-0.877,-0.0594,0.3748,-0.8984,25.428,0
0.662,-0.7942,-0.2785,0.2064,-0.3973,13.190,0
0.6929,-11.423,-0.1246,-0.295,-0.7894,-10.990,0
0.2491,-0.8098,-0.0453,-0.2112,-0.0623,-28.868,0
0.3197,-0.8978,0.0555,-0.1366,0.1722,-0.8806,0
0.5569,-14.246,-0.1935,0.3919,-11.598,35.336,0
0.3874,-0.6626,-0.1261,0.5992,0.3975,0.882,0
0.5634,-14.413,-0.2124,-0.6606,0.8258,-0.2538,0
0.3344,-0.9437,-0.0687,-0.6882,-0.1209,-25.220,0
0.2797,-0.8473,0.0257,-0.2574,-0.2347,-18.959,0
0.5678,-0.8802,-0.2326,0.5755,0.231,28.897,0
0.5353,-0.8067,-0.1952,0.1344,10.349,20.420,0
0.594,-10.874,-0.2786,-0.1817,0.1701,-0.0454,0
0.6107,-13.625,-0.0638,-0.5926,-0.6533,-17.893,0
0.3213,-0.8954,0.0174,0.049,-0.2087,-28.416,0
0.4545,-10.454,0.0062,-0.0272,0.8734,27.890,0
0.2549,-0.8386,-0.0392,0.2216,0.6141,17.357,0
0.6122,-0.9528,-0.2697,0.1331,-0.5244,0.6437,0
0.6089,-12.991,-0.1467,-0.3103,-0.7567,-15.889,0
0.3163,-0.8134,0.0059,-0.1059,-0.3358,-25.507,0
0.4213,-10.800,-0.006,-0.3115,0.7397,11.321,0
0.2652,-0.7821,-0.0957,0.4252,-0.3947,22.478,0
0.5738,-10.088,-0.2986,0.368,0.268,0.6341,0
0.5505,-12.154,-0.1757,-0.6,0.4061,-11.604,0
0.2887,-0.7713,0.0014,-0.3777,-0.2716,-24.449,0
0.3945,-0.9849,0.0078,-0.2744,0.6706,0.2757,0
0.5972,-11.432,-0.2235,0.4744,-11.092,27.531,0
0.4722,-0.772,-0.2505,0.2067,0.4913,0.7946,0
0.5853,-12.346,-0.1981,-0.5655,0.1169,-0.8977,0
0.2757,-0.8391,-0.0072,-0.3355,-0.3098,-26.540,0
0.3073,-0.9275,0.0401,-0.1457,0.1557,-0.7875,0
0.5658,-11.213,-0.2999,0.3816,-0.7291,31.841,0
0.4005,-0.7692,-0.1453,0.6868,-0.18,10.397,0
0.5844,-14.608,-0.2223,-0.6575,0.5828,-0.4737,0
0.2566,-0.8068,-0.042,-0.7274,-0.0563,-20.685,0
0.304,-10.526,0.0464,-0.4294,0.2014,-14.583,0
0.4465,-10.840,-0.1606,0.4681,0.3918,22.522,0
0.3939,-0.6838,-0.1126,0.5759,-0.0559,14.791,0
0.5429,-11.746,-0.2511,-0.1469,0.096,0.1659,0
0.3388,-10.269,-0.0469,-0.6239,0.1507,-22.914,0
0.313,-0.8987,0.03,-0.139,-0.3489,-20.221,0
0.4655,-0.9433,-0.1292,0.0525,0.8692,26.627,0
0.3586,-0.6902,-0.1185,0.7068,0.121,16.036,0
0.5211,-11.707,-0.2329,-0.1162,0.2544,0.1954,0
0.2969,-11.104,-0.0124,-0.779,-11.317,-16.004,0
0.3363,-0.836,0.0099,-0.0867,-0.3271,-28.469,0
0.3964,-0.9407,0.0009,0.1145,12.034,24.547,0
